//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB  EffectType     EffectSize   ColorSide
  //WING CONQUEROR
  6344        32060         47            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         24            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         31            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         40            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         8             0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         17            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         46            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         23            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         35            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         39            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         44            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         45            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         12            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         16            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         21            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         22            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         61            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         60            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         59            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         62            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         55            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         52            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         53            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32060         54            0             2.5     0.5     0.5     9.0         0.5         0.5

  6344		32060 		47		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		24		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		31		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		40		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		08		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		17		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		46		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		23		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		35		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		39		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		44		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		45		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		12		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		16		0		1.5	0.5	0.5	9.0		0.5		0.5
